Ref,Val,Package,PosX,PosY,Rot,Side
"BT1","Battery","PinHeader_1x02_P2.54mm_Vertical",112.870000,-119.985000,180.000000,top
"C1","120uF/450v","CP_Radial_D18.0mm_P7.50mm",131.190000,-130.930000,90.000000,top
"C2","100nF","C_0603_1608Metric",114.000000,-137.400000,90.000000,top
"C3","100nF","C_0603_1608Metric",93.160000,-64.520000,180.000000,top
"C4","470uF","CP_Elec_6.3x7.7",100.330000,-96.580000,-90.000000,top
"C5","100nF","C_0603_1608Metric",97.570000,-89.305000,90.000000,top
"C6","100nF","C_0603_1608Metric",89.800000,-85.970000,0.000000,top
"C7","470uF","CP_Elec_6.3x7.7",80.750000,-88.890000,-90.000000,top
"C8","470uF","CP_Elec_6.3x7.7",108.712000,-137.668000,-90.000000,top
"C9","100nF","C_0603_1608Metric",101.050000,-141.960000,180.000000,top
"C10","470uF","CP_Elec_6.3x7.7",81.580000,-131.585000,-90.000000,top
"C11","470uF","CP_Elec_6.3x7.7",89.020000,-131.585000,-90.000000,top
"C12","100nF","C_0603_1608Metric",85.190000,-115.350000,-90.000000,top
"C13","100nF","C_0603_1608Metric",117.730000,-116.025000,180.000000,top
"C14","100nF","C_0603_1608Metric",85.500000,-110.670000,90.000000,top
"D1","D","D_SMA",133.500000,-140.000000,0.000000,top
"D2","D","D_SMA",142.240000,-93.980000,180.000000,top
"D3","LED_ARGB","TerminalBlock_Phoenix_MKDS-3-4-5.08_1x04_P5.08mm_Horizontal",144.620000,-68.080000,-90.000000,top
"D4","B540C","D_SMC",80.772000,-99.060000,90.000000,top
"D5","B540C","D_SMC",107.560000,-118.062500,-90.000000,top
"J1","Screw_Terminal_01x02","TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",146.375000,-132.565000,90.000000,top
"J2","Conn_01x02_Pin","PinHeader_1x02_P2.54mm_Vertical",140.970000,-89.662000,90.000000,top
"J3","Conn_01x02_Pin","PinHeader_1x02_P2.54mm_Vertical",121.600000,-120.105000,180.000000,top
"J4","Conn_01x05_Socket","PinHeader_1x05_P2.54mm_Vertical",83.945000,-61.680000,90.000000,top
"J5","Screw_Terminal_01x02","PinHeader_1x02_P2.54mm_Vertical",81.215000,-123.610000,-90.000000,top
"J6","USB_C_Receptacle_PowerOnly_6P","USB_C_Receptacle_GCT_USB4125-xx-x_6P_TopMnt_Horizontal",79.900000,-113.075000,-90.000000,top
"K1","SANYOU_SRD_Form_C","Relay_SPDT_SANYOU_SRD_Series_Form_C",143.088000,-97.472000,-90.000000,top
"L1","47uH","SMD,13.7x12.8mm",96.550000,-75.940000,180.000000,top
"L2","47uH","SMD,13.7x12.8mm",101.040000,-116.160000,180.000000,top
"Q1","Q_NMOS_GSD","SOT-23",135.128000,-93.218000,-90.000000,top
"Q2","Q_NMOS_GSD","SOT-23",136.558000,-72.798000,0.000000,top
"Q3","Q_NMOS_GSD","SOT-23",136.558000,-77.878000,0.000000,top
"Q4","Q_NMOS_GSD","SOT-23",136.558000,-83.466000,0.000000,top
"Q5","Q_NMOS_GDS","TO-252-2",110.412000,-127.000000,180.000000,top
"Q6","Q_NMOS_GSD","SOT-23",118.872000,-127.508000,-90.000000,top
"R1","10K","R_0603_1608Metric",127.585000,-142.175000,180.000000,top
"R2","10K","R_0603_1608Metric",116.200000,-141.600000,90.000000,top
"R3","10K","R_0603_1608Metric",124.200000,-141.600000,90.000000,top
"R4","10K","R_0603_1608Metric",135.128000,-90.170000,180.000000,top
"R5","10K","R_0603_1608Metric",133.510000,-72.798000,-90.000000,top
"R6","10K","R_0603_1608Metric",133.510000,-77.878000,-90.000000,top
"R7","10K","R_0603_1608Metric",133.696000,-83.466000,-90.000000,top
"R8","10K","R_0603_1608Metric",114.140000,-131.810000,0.000000,top
"R9","10K","R_0603_1608Metric",89.916000,-137.685000,180.000000,top
"R10","10K","R_0603_1608Metric",118.590000,-124.460000,180.000000,top
"R11","3K3","R_0603_1608Metric",89.916000,-139.585000,0.000000,top
"R12","47k","R_0603_1608Metric",117.770000,-119.895000,0.000000,top
"R13","10K","R_0603_1608Metric",117.790000,-117.765000,180.000000,top
"R14","10K","R_0603_1608Metric",81.500000,-106.600000,180.000000,top
"R16","10K","R_0603_1608Metric",81.400000,-119.700000,180.000000,top
"U1","PC817","SMDIP-4_W7.62mm",120.010000,-137.150000,180.000000,top
"U3","LM2596S-5","TO-263-5_TabPin3",90.770000,-97.030000,-90.000000,top
"U4","XL4015","TO-263-5_TabPin3",98.420000,-130.875000,90.000000,top
"U5","SC0915","RPi_Pico_SMD_TH_REMOVED_SWD_PINS",118.110000,-84.582000,0.000000,top
